Financial Year,Financial Quarter,Force Name,Offence Description,Offence Group,Offence Subgroup,Offence Code,Offence Count
2020/21,1,Action Fraud,Fraud offences recorded by Action Fraud,Fraud offences,Fraud: Action Fraud,AF,80444
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,2
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,2
2020/21,1,Avon & Somerset,Absconding from lawful custody,Miscellaneous crimes,Miscellaneous crimes,80,1
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,3
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,0
2020/21,1,Avon & Somerset,Abuse of children through sexual exploitation,Sexual offences,Other sexual offences,71,0
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,1
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,1
2020/21,1,Avon & Somerset,Abuse of position of trust of a sexual nature,Sexual offences,Other sexual offences,73,0
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,2
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,1
2020/21,1,Avon & Somerset,Aggravated Burglary Business and Community,Theft offences,Non-domestic burglary,31A,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a building other than a dwelling(outcome only),Theft offences,Non-domestic burglary,31,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated burglary in a dwelling (outcome only),Theft offences,Domestic burglary,29,0
2020/21,1,Avon & Somerset,Aggravated Burglary Residential,Theft offences,Domestic burglary,29A,5
